Orthogroup	Babesia_bovis	Cardiosporidium_cionae	Cryptosporidium_parvum	Cyclospora_cayetanensis	Eimeria_tenella	Haemoproteus_tartakovskyi	Hepatocystis	Neospora_caninum	Nephromyces	Plasmodium_falciparum	Plasmodium_gaboni	Plasmodium_gallinaceum	Plasmodium_knowlesi	Plasmodium_reichenowi	Plasmodium_vivax	Sarcocystis_neurona	Theileria_annulata	Toxoplasma_gondii
OG0000795	EDO08001.1	KAF8822215.1	cgd8_2000-RA	cyc_02038	ETH2_1333900	Htart_000152800	VWU48916	Ncaninum_LIV_000320600	NEPH_000582-T1,NEPH_006054-T1	PF3D7_1020700.1	PGSY75_1020700.1	PGAL8A_00479900	PKNH_0604900	PRCDC_1020100.1	PVP01_0605900	SN3_02100110	TA12145	TGME49_218610
OG0000796	EDO08008.1	KAF8817923.1,KAF8821281.1	cgd2_1940-RA	cyc_01571	ETH2_1117000	Htart_000108900	VWU52468	Ncaninum_LIV_000402200	NEPH_001061-T1	PF3D7_1144900.1	PGSY75_1144900.1	PGAL8A_00372400	PKNH_0942800	PRCDC_1143300.1	PVP01_0945600	SN3_01500135	TA15190	TGME49_310460
OG0000797	EDO08018.1	KAF8822109.1	cgd1_1980-RA	cyc_07040	ETH2_1581400	Htart_000441900,Htart_000442000	VWU49482	Ncaninum_LIV_000006200	NEPH_003050-T1	PF3D7_1147500.1	PGSY75_1147500.1	PGAL8A_00374900	PKNH_0945400	PRCDC_1145800.1	PVP01_0948100	SN3_02400140	TA15255	TGME49_200370
OG0000798	EDO08027.1	KAF8821610.1,KAF8822207.1	cgd4_470-RA	cyc_00238	ETH2_0201600		VWU49385	Ncaninum_LIV_000333800	NEPH_002278-T1,NEPH_007349-T1	PF3D7_1341300.1	PGSY75_0020500.1	PGAL8A_00252400	PKNH_1260000	PRCDC_1340300.1	PVP01_1213400	SN3_02500140	TA15200	TGME49_300000
OG0000799	EDO08028.2	KAF8820859.1	cgd5_530-RA	cyc_05116	ETH2_1514300	Htart_000013500	VWU49381	Ncaninum_LIV_000454800	NEPH_006253-T1,NEPH_009293-T1	PF3D7_1341900.1	PGSY75_1341900.1	PGAL8A_00253000	PKNH_1259500	PRCDC_1340900.1	PVP01_1212900	SN3_00400180	TA13470	TGME49_281920
OG0000800	EDO08034.2					Htart_000399300	VWU52493,VWU53331	Ncaninum_LIV_000157100	NEPH_009369-T1	PF3D7_1019500.1,PF3D7_1019500.2	PGSY75_0011300.1,PGSY75_1019500.1,PGSY75_1019500.2	PGAL8A_00478700	PKNH_0603700	PRCDC_1018900.1,PRCDC_1018900.2	PVP01_0604700	SN3_03200230	TA13420	TGME49_227780
OG0000801	EDO08038.1	KAF8819093.1	cgd7_3690-RA	cyc_06025	ETH2_1453700		VWU48508	Ncaninum_LIV_000017800	NEPH_000735-T1,NEPH_008832-T1,NEPH_010712-T1	PF3D7_0403700.1	PGSY75_0403700.1	PGAL8A_00054300	PKNH_0301700	PRCDC_0401300.1	PVP01_0303000	SN3_00301540	TA13380	TGME49_269200
OG0000802	EDO08063.2,EDO08068.1		cgd8_1860-RA	cyc_01055	ETH2_1461000	Htart_000442800	VWU50986	Ncaninum_LIV_000413100	NEPH_005925-T1	PF3D7_1303400.1	PGSY75_1303400.1	PGAL8A_00499400	PKNH_1403600	PRCDC_1302400.1	PVP01_1404300	SN3_03300280	TA13230,TA13250	TGME49_309140
OG0000803	EDO08074.1	KAF8820048.1	cgd3_2210-RA	cyc_05562	ETH2_1406800	Htart_000498300	VWU48245	Ncaninum_LIV_000660000	NEPH_005855-T1,NEPH_010027-T1	PF3D7_0904800.1	PGSY75_0904800.1	PGAL8A_00417300	PKNH_0702500	PRCDC_0902900.1	PVP01_0703200	SN3_02100220	TA13200	TGME49_203170
OG0000804	EDO08085.1		cgd3_1590-RA	cyc_02756	ETH2_1468300	Htart_000437500,Htart_000437600	VWU51820	Ncaninum_LIV_000643700	NEPH_006767-T1,NEPH_009282-T1	PF3D7_1419100.1	PGSY75_1419100.1	PGAL8A_00290900	PKNH_1338900	PRCDC_1418400.1	PVP01_1329800	SN3_01800455	TA13135	TGME49_205540
OG0000805	EDO08086.1	KAF8822926.1	cgd1_3360-RA	cyc_02123	ETH2_1146700	Htart_000151000	VWU49363	Ncaninum_LIV_000440700	NEPH_003096-T1,NEPH_009704-T1	PF3D7_1119600.1	PGSY75_1119600.1	PGAL8A_00346200	PKNH_0917300	PRCDC_1118000.1	PVP01_0920200	SN3_01400715	TA13125	TGME49_202630
OG0000806	EDO08092.1	KAF8821907.1	cgd4_1940-RA,cgd5_1470-RA	cyc_03624	ETH2_0409300	Htart_000011800	VWU52520	Ncaninum_LIV_000530400	NEPH_004955-T1	PF3D7_1366500.1	PGSY75_1366500.1	PGAL8A_00173000	PKNH_1104800	PRCDC_1365400.1	PVP01_1105500	SN3_02600530	TA13095	TGME49_295350
OG0000807	EDO08102.1	KAF8819735.1	cgd8_1580-RA	cyc_01759	ETH2_1331700	Htart_000240900	VWU48724,VWU48805	Ncaninum_LIV_000649200	NEPH_008421-T1	PF3D7_1220500.1	PGSY75_1220500.1	PGAL8A_00534700	PKNH_1439700	PRCDC_1219800.1	PVP01_1438900	SN3_02300420	TA13030	TGME49_204540
OG0000808	EDO08108.2	KAF8819218.1	cgd1_320-RA,cgd4_2580-RA	cyc_00788	ETH2_0800200	Htart_000214900	VWU50101	Ncaninum_LIV_000221200	NEPH_002543-T1,NEPH_004809-T1	PF3D7_1131800.1	PGSY75_1131800.1	PGAL8A_00359200	PKNH_0930000	PRCDC_1130200.1		SN3_02300100	TA12980	TGME49_264760
OG0000809	EDO08152.2	KAF8821302.1	cgd1_310-RA	cyc_04320	ETH2_1026800	Htart_000179300	VWU50913,VWU52018	Ncaninum_LIV_000214000	NEPH_005555-T1	PF3D7_1332600.1	PGSY75_1332600.1	PGAL8A_00244800	PKNH_1268000	PRCDC_1331600.1	PVP01_1222100	SN3_00200435	TA12590	TGME49_288680
OG0000810	EDO08165.1,KAG6440018.1	KAF8822316.1	Cgd3_4320-RA	cyc_04806	ETH2_1463900	Htart_000488000	VWU51526	Ncaninum_LIV_000078800	NEPH_010034-T1	PF3D7_0205500.1	PGSY75_0205500.1	PGAL8A_00018800	PKNH_0415400	PRCDC_0204600.1	PVP01_0419600	SN3_01100875	TA12735	TGME49_231380
OG0000811	EDO08173.2	KAF8818036.1	cgd5_2400-RA,cgd5_2410-RA	cyc_05701	ETH2_0808600		VWU52105,VWU53114	Ncaninum_LIV_000301600	NEPH_001978-T1	PF3D7_1414500.1	PGSY75_1414500.1	PGAL8A_00286100	PKNH_1343600	PRCDC_1413800.1	PVP01_1334400	SN3_00400730	TA12685	TGME49_246600
OG0000812	EDO08174.1	KAF8822016.1	cgd7_2670-RA	cyc_07406	ETH2_1558900		VWU50609	Ncaninum_LIV_000400000	NEPH_001494-T1,NEPH_002957-T1	PF3D7_1414400.1	PGSY75_1414400.1	PGAL8A_00286000	PKNH_1343700	PRCDC_1413700.1	PVP01_0603400,PVP01_1334500	SN3_02100070	TA12680	TGME49_310700
OG0000813	EDO08175.2		cgd8_3720-RA	cyc_06806	ETH2_0919500	Htart_000157500	VWU50726	Ncaninum_LIV_000306300	NEPH_009319-T1,NEPH_009987-T1	PF3D7_1414100.1	PGSY75_1414100.1	PGAL8A_00285700	PKNH_1344000	PRCDC_1413400.1	PVP01_1334800	SN3_01900060,SN3_01900065	TA12675	TGME49_245660
OG0000814	EDO08185.2	KAF8819095.1,KAF8819259.1	cgd6_1730-RA	cyc_03685	ETH2_1301400	Htart_000086600	VWU49422	Ncaninum_LIV_000450300	NEPH_008902-T1	PF3D7_1419900.1	PGSY75_1419900.1	PGAL8A_00291700	PKNH_1338100	PRCDC_1419200.1	PVP01_1329000	SN3_00601130	TA12825	TGME49_201200
OG0000815	EDO08200.1	KAF8820480.1,KAF8822907.1	cgd6_570-RA		ETH2_1563600	Htart_000492700	VWU53263	Ncaninum_LIV_000389300	NEPH_002816-T1,NEPH_006616-T1	PF3D7_1331800.1	PGSY75_0018900.1	PGAL8A_00244000	PKNH_1268700	PRCDC_1330800.1	PVP01_1222800	SN3_03000045	TA12535	TGME49_312090
OG0000816	EDO08229.1	KAF8819757.1,KAF8820459.1	cgd3_3890-RA		ETH2_1430800	Htart_000480000	VWU51569	Ncaninum_LIV_000072100	NEPH_005093-T1,NEPH_006595-T1	PF3D7_1019400.1	PGSY75_1019400.1	PGAL8A_00478600	PKNH_0603600	PRCDC_1018800.1	PVP01_0604600	SN3_00103140	TA12435	TGME49_232230
OG0000817	EDO08230.1	KAF8821901.1	cgd4_4300-RA	cyc_03526	ETH2_1348500	Htart_000051800	VWU48464	Ncaninum_LIV_000555500	NEPH_000152-T1,NEPH_003550-T1	PF3D7_0528100.1	PGSY75_0528100.1	PGAL8A_00075400	PKNH_1004600	PRCDC_0527200.1	PVP01_1005700	SN3_00200630	TA12430	TGME49_240870
OG0000818	EDO08260.1	KAF8819065.1	cgd7_3580-RA		ETH2_1222600	Htart_000273800	VWU50467,VWU52479	Ncaninum_LIV_000093500	NEPH_006776-T1,NEPH_009728-T1	PF3D7_1022600.1	PGSY75_1022600.1	PGAL8A_00481900	PKNH_0606900	PRCDC_1022000.1	PVP01_0607800	SN3_02400355	TA10910	TGME49_229290
OG0000819	EDO08270.1	KAF8819301.1	cgd2_530-RA	cyc_00486	ETH2_1574500	Htart_000331700	VWU49296	Ncaninum_LIV_000371900	NEPH_003070-T1,NEPH_007309-T1	PF3D7_0108000.1	PGSY75_0108000.1	PGAL8A_00104200	PKNH_0205600	PRCDC_0105900.1	PVP01_0206900	SN3_01600395	TA10875	TGME49_314090
OG0000820	EDO08299.1	KAF8819340.1,KAF8822786.1		cyc_03858	ETH2_0611100	Htart_000382000	VWU50518	Ncaninum_LIV_000402500	NEPH_006703-T1,NEPH_007612-T1	PF3D7_1443900.1	PGSY75_1443900.1	PGAL8A_00203100	PKNH_1238400	PRCDC_1443200.1	PVP01_1263100	SN3_01500120	TA10720	TGME49_310430
OG0000821	EDO08345.1	KAF8819121.1,KAF8820726.1	cgd3_1900-RA	cyc_02120	ETH2_1144600	Htart_000340800	VWU49862	Ncaninum_LIV_000542700	NEPH_002013-T1	PF3D7_1437000.1	PGSY75_1437000.1	PGAL8A_00308600	PKNH_0423600	PRCDC_1436300.1	PVP01_1312500	SN3_02700330	TA10470	TGME49_305450
OG0000822	EDO08352.2	KAF8820958.1		cyc_04784,cyc_07796	ETH2_0101500		VWU52036	Ncaninum_LIV_000693200	NEPH_002139-T1,NEPH_005910-T1,NEPH_009870-T1	PF3D7_0323700.1	PGSY75_0323700.1	PGAL8A_00392600	PKNH_0816700	PRCDC_0323000.1	PVP01_0816500	SN3_02200315	TA10440	TGME49_318140
OG0000823	EDO08354.1	KAF8820307.1	cgd4_270-RA	cyc_00772	ETH2_0914200	Htart_000495900	VWU48757	Ncaninum_LIV_000610200	NEPH_000428-T1,NEPH_008545-T1	PF3D7_0323500.1	PGSY75_0323500.1	PGAL8A_00392800	PKNH_0816900	PRCDC_0322800.1	PVP01_0816700	SN3_02100610	TA10430	TGME49_286440
OG0000824	EDO08366.1	KAF8817731.1,KAF8820691.1,KAF8822864.1		cyc_05153	ETH2_1256200	Htart_000294100	VWU52044	Ncaninum_LIV_000138200	NEPH_001613-T1,NEPH_009536-T1	PF3D7_0316100.1	PGSY75_0316100.1	PGAL8A_00400200	PKNH_0826000	PRCDC_0315400.1	PVP01_0824000		TA14355	TGME49_263110
OG0000825	EDO08369.2	KAF8822731.1	cgd8_4970-RA	cyc_08027	ETH2_1237100	Htart_000040700	VWU50470,VWU52115	Ncaninum_LIV_000551300	NEPH_004725-T1	PF3D7_1313600.1	PGSY75_1313600.1	PGAL8A_00509900	PKNH_1414200	PRCDC_1312600.1	PVP01_1414500	SN3_02200310	TA10400	TGME49_240380
OG0000826	EDO08392.1	KAF8820561.1,KAF8820829.1		cyc_04537	ETH2_0658400	Htart_000492100	VWU49245	Ncaninum_LIV_000088400	NEPH_002124-T1,NEPH_009525-T1	PF3D7_1245400.1	PGSY75_1245400.1	PGAL8A_00466100	PKNH_1465100	PRCDC_1244800.1	PVP01_1462500	SN3_04300160	TA10270	TGME49_230050
OG0000827	EDO08393.1	KAF8819760.1		cyc_08066	ETH2_0956100	Htart_000273900,Htart_000493800	VWU49330	Ncaninum_LIV_000090300	NEPH_007616-T1,NEPH_010705-T1	PF3D7_0812000.1	PGSY75_0812000.1	PGAL8A_00524100	PKNH_1428700	PRCDC_0811300.1	PVP01_1428300	SN3_03800015	TA10265	TGME49_229740
OG0000828	EDO08410.1	KAF8822308.1	cgd4_3080-RA	cyc_04062	ETH2_0313800	Htart_000061600	VWU49221	Ncaninum_LIV_000306700	NEPH_000056-T1,NEPH_001512-T1	PF3D7_1402500.1	PGSY75_1402500.1	PGAL8A_00274300	PKNH_1355500	PRCDC_1401800.1	PVP01_1346200	SN3_01900030	TA10160	TGME49_245620
OG0000829	EDO08418.1	KAF8822463.1	cgd6_3590-RA	cyc_00936	ETH2_1137900	Htart_000061800	VWU49223	Ncaninum_LIV_000155200	NEPH_001636-T1,NEPH_009159-T1	PF3D7_1402300.1	PGSY75_1402300.1	PGAL8A_00274100	PKNH_1355800	PRCDC_1401600.1	PVP01_1346500	SN3_04100090	TA10120	TGME49_227960
OG0000830	EDO08427.1	KAF8819075.1,KAF8819155.1	cgd6_4620-RA	cyc_00606	ETH2_0208000	Htart_000043700	VWU51430		NEPH_001920-T1,NEPH_003687-T1	PF3D7_0312800.1	PGSY75_0312800.1	PGAL8A_00012000	PKNH_0829400	PRCDC_0312100.1	PVP01_0827400	SN3_00600255	TA10065	TGME49_248390
OG0000831	EDO08428.2	KAF8819291.1	cgd4_140-RA	cyc_01796	ETH2_1017200		VWU49812,VWU51282,VWU52155	Ncaninum_LIV_000166400	NEPH_001777-T1,NEPH_004608-T1	PF3D7_1250800.1	PGSY75_1250800.1	PGAL8A_00471700	PKNH_1470800	PRCDC_1250200.1	PVP01_1467900	SN3_04800005		TGME49_226440
OG0000832	EDO08429.1	KAF8819319.1	cgd7_4400-RA,cgd8_1180-RA	cyc_03096	ETH2_0910700		VWU48984	Ncaninum_LIV_000348300	NEPH_008512-T1	PF3D7_1251200.1	PGSY75_1251200.1	PGAL8A_00472000,PGAL8A_00472200	PKNH_1471200	PRCDC_1250600.1	PVP01_1468300	SN3_02000215	TA10060	TGME49_216970
OG0000833	EDO08434.1		cgd8_1230-RA	cyc_05179,cyc_05384	ETH2_1259700	Htart_000466000,Htart_000466300	VWU49478	Ncaninum_LIV_000495200	NEPH_003576-T1	PF3D7_1148000.1	PGSY75_1148000.1	PGAL8A_00375400	PKNH_0945900	PRCDC_1146300.1	PVP01_0948600	SN3_00600435	TA10035	TGME49_234970
OG0000834	EDO08445.2	KAF8819184.1,KAF8819770.1		cyc_07623	ETH2_0651100	Htart_000073300	VWU51679	Ncaninum_LIV_000095000	NEPH_006329-T1,NEPH_007081-T1	PF3D7_0615500.1	PGSY75_0615500.1	PGAL8A_00144200	PKNH_1134500	PRCDC_0614200.1	PVP01_1133600	SN3_03200020	TA09960	TGME49_229020
OG0000835	EDO08446.2	KAF8819435.1,KAF8819690.1	cgd2_2440-RA	cyc_07247	ETH2_1346000		VWU52311	Ncaninum_LIV_000028700	NEPH_003801-T1,NEPH_008803-T1	PF3D7_1407500.1	PGSY75_1407500.1	PGAL8A_00279400	PKNH_1350600	PRCDC_1406800.1	PVP01_1341200	SN3_02500010	TA09955	TGME49_270540
OG0000836	EDO08447.2	KAF8817705.1,KAF8823114.1		cyc_03962	ETH2_1361700	Htart_000131100	VWU48557	Ncaninum_LIV_000602400	NEPH_006607-T1,NEPH_010599-T1,NEPH_010694-T1	PF3D7_1407300.1	PGSY75_1407300.1	PGAL8A_00279200	PKNH_1350800	PRCDC_1406600.1	PVP01_1341400		TA09950	TGME49_285230
OG0000837	EDO08462.2		cgd3_3680-RA	cyc_07994	ETH2_0815900	Htart_000239500	VWU50296,VWU53023	Ncaninum_LIV_000613400	NEPH_009031-T1,NEPH_010658-T1	PF3D7_0630600.1	PGSY75_0630600.1	PGAL8A_00159100	PKNH_1118900	PRCDC_0629000.1	PVP01_1118900	SN3_01600275	TA09860	TGME49_286800
OG0000838	EDO08465.1	KAF8819071.1,KAF8819072.1	cgd8_1240-RA	cyc_02005	ETH2_1154800		VWU50294,VWU52351	Ncaninum_LIV_000682100	NEPH_010756-T1	PF3D7_0630300.1	PGSY75_0630300.1	PGAL8A_00158800	PKNH_1119200	PRCDC_0628700.1	PVP01_1119200	SN3_00401225	TA09840	TGME49_319860
OG0000839	EDO08472.2		cgd6_5040-RA	cyc_03574	ETH2_1358100	Htart_000231200	VWU51086	Ncaninum_LIV_000236300	NEPH_002387-T1,NEPH_002973-T1,NEPH_002974-T1	PF3D7_1353500.1	PGSY75_1353500.1	PGAL8A_00159900	PKNH_1118200	PRCDC_1352500.1	PVP01_1118200	SN3_01400070	TA11370	TGME49_266930
OG0000840	EDO08477.1	KAF8820108.1	cgd2_1440-RA	cyc_02953	ETH2_1241600	Htart_000128900	VWU51081	Ncaninum_LIV_000101300	NEPH_001474-T1,NEPH_006161-T1	PF3D7_1353900.1	PGSY75_1353900.1	PGAL8A_00160300	PKNH_1117800	PRCDC_1352900.1	PVP01_1117800	SN3_00300555	TA11345	TGME49_258150
OG0000841	EDO08483.1	KAF8822650.1	cgd5_2780-RA	cyc_00269	ETH2_1320100	Htart_000083300	VWU49868	Ncaninum_LIV_000670100	NEPH_009542-T1,NEPH_009692-T1	PF3D7_0719700.1	PGSY75_0719700.1	PGAL8A_00082900	PKNH_0315100	PRCDC_0716900.1	PVP01_0315400	SN3_01300180	TA11305	TGME49_275810
OG0000842	EDO08494.2	KAF8821217.1,KAF8821227.1		cyc_05560	ETH2_1406900	Htart_000251800	VWU48893	Ncaninum_LIV_000443900	NEPH_006370-T1,NEPH_007766-T1	PF3D7_1422100.1	PGSY75_1422100.1	PGAL8A_00293900	PKNH_1335900	PRCDC_1421400.1	PVP01_1326900	SN3_03200025	TA11255	TGME49_202350
OG0000843	EDO08514.2	KAF8821686.1	cgd6_4050-RA	cyc_05936	ETH2_1206500	Htart_000102200	VWU48958,VWU53063	Ncaninum_LIV_000588700	NEPH_002835-T1	PF3D7_1364000.1	PGSY75_1364000.1	PGAL8A_00170500	PKNH_1107300	PRCDC_1362900.1	PVP01_1108000	SN3_00500440	TA11155	TGME49_255880
OG0000844	EDO08515.1	KAF8819862.1	cgd8_3320-RA	cyc_07554	ETH2_1011500	Htart_000476900	VWU50261	Ncaninum_LIV_000417300	NEPH_006696-T1,NEPH_010510-T1	PF3D7_1104000.1	PGSY75_1104000.1	PGAL8A_00331300	PKNH_0901600	PRCDC_1102500.1	PVP01_0904800	SN3_04200040	TA11150	TGME49_306960
OG0000845	EDO08518.2	KAF8821752.1	cgd4_2690-RA	cyc_00659,cyc_06382,cyc_08981	ETH2_1222100	Htart_000071600	VWU48323	Ncaninum_LIV_000072500		PF3D7_1442900.1	PGSY75_1442900.1	PGAL8A_00202100	PKNH_1239400	PRCDC_1442200.1	PVP01_1264100	SN3_00700550	TA11135	TGME49_232190
OG0000846	EDO08524.1	KAF8820818.1		cyc_02140	ETH2_0517900	Htart_000489000	VWU52573	Ncaninum_LIV_000280200	NEPH_010103-T1,NEPH_010169-T1,NEPH_010661-T1	PF3D7_0802000.1	PGSY75_0802000.1	PGAL8A_00078200	PKNH_0116900	PRCDC_0801600.1	PVP01_0118200	SN3_00102830	TA11105	TGME49_249390
OG0000847	EDO08527.1	KAF8821191.1	cgd5_150-RA	cyc_07067	ETH2_0827200	Htart_000322100	VWU48171	Ncaninum_LIV_000248200	NEPH_007007-T1,NEPH_007232-T1	PF3D7_1357500.1	PGSY75_1357500.1	PGAL8A_00163900	PKNH_1114000	PRCDC_1356400.1	PVP01_1114400	SN3_00102930	TA11090	TGME49_277070
OG0000848	EDO08531.1	KAF8821004.1	cgd7_2650-RA	cyc_01036	ETH2_1452400	Htart_000155800	VWU50564	Ncaninum_LIV_000554100	NEPH_001239-T1,NEPH_003430-T1	PF3D7_0922200.1	PGSY75_0922200.1	PGAL8A_00435100	PKNH_0720200	PRCDC_0920200.1	PVP01_0720700	SN3_02100010	TA11070	TGME49_240690
OG0000849	EDO08548.1	KAF8822528.1,KAF8822906.1	cgd2_980-RA	cyc_01325	ETH2_1131600	Htart_000326500	VWU49351	Ncaninum_LIV_000553300	NEPH_002809-T1	PF3D7_1364800.1	PGSY75_1364800.1	PGAL8A_00171300	PKNH_1106500	PRCDC_1363700.1	PVP01_1107200	SN3_02100055	TA10195	TGME49_240590
OG0000850	EDO08551.1	KAF8817771.1,KAF8819543.1	cgd8_860-RA	cyc_03879,cyc_06221	ETH2_1263300	Htart_000248600	VWU48117	Ncaninum_LIV_000553800		PF3D7_0606700.1	PGSY75_0606700.1	PGAL8A_00135200	PKNH_1143500	PRCDC_0605300.1	PVP01_1142200	SN3_02100035	TA11660	TGME49_240650
OG0000851	EDO08552.1	KAF8821607.1,KAF8822203.1	cgd7_2800-RA	cyc_02552	ETH2_0419600		VWU49128	Ncaninum_LIV_000535000	NEPH_002274-T1,NEPH_010259-T1	PF3D7_0606200.1	PGSY75_0606200.1	PGAL8A_00134700	PKNH_1144000	PRCDC_0604800.1	PVP01_1142700	SN3_00601025	TA11640	TGME49_280440
OG0000852	EDO08558.1	KAF8821194.1,KAF8822115.1	cgd1_2450-RA	cyc_01171	ETH2_1579800	Htart_000080900	VWU49122	Ncaninum_LIV_000542300	NEPH_007181-T1	PF3D7_1227800.1	PGSY75_1227800.1	PGAL8A_00128900	PKNH_1447200	PRCDC_1227100.1	PVP01_1446000	SN3_02700350	TA11600	TGME49_305480
OG0000853	EDO08583.2	KAF8822697.1	cgd5_3330-RA	cyc_06821	ETH2_0713000		VWU50889	Ncaninum_LIV_000349400	NEPH_000342-T1,NEPH_008396-T1,NEPH_009196-T1	PF3D7_1468500.1	PGSY75_1468500.1	PGAL8A_00227900	PKNH_1212700	PRCDC_1467700.1	PVP01_1238300	SN3_02000170	TA11460	TGME49_217160
OG0000854	EDO08584.1	KAF8822664.1	cgd2_300-RA	cyc_00668	ETH2_1223100		VWU49821	Ncaninum_LIV_000542800	NEPH_010106-T1,NEPH_010342-T1,NEPH_010665-T1	PF3D7_1468100.1	PGSY75_1468100.1	PGAL8A_00227500	PKNH_1213100	PRCDC_1467300.1	PVP01_1238700	SN3_02700325	TA11450	TGME49_305340
OG0000855	EDO08586.1	KAF8820764.1	cgd7_1850-RA	cyc_02865	ETH2_1029500	Htart_000397400	VWU52215	Ncaninum_LIV_000079800	NEPH_001749-T1,NEPH_010641-T1	PF3D7_0509100.1	PGSY75_0509100.1	PGAL8A_00030200	PKNH_1024500	PRCDC_0508300.1	PVP01_1024900	SN3_00600365	TA11440	TGME49_231170
OG0000856	EDO08589.1	KAF8822018.1	cgd1_3800-RA,cgd3_3870-RA	cyc_00444	ETH2_0743300		VWU52276	Ncaninum_LIV_000740400	NEPH_001482-T1,NEPH_002951-T1	PF3D7_1224100.1	PGSY75_1224100.1	PGAL8A_00125200	PKNH_1443300	PRCDC_1223400.1	PVP01_1442300	SN3_02100245	TA16085	TGME49_209890
OG0000857	EDO08601.2	KAF8819908.1	cgd2_1330-RA		ETH2_1034700	Htart_000008700	VWU50811	Ncaninum_LIV_000756300	NEPH_007501-T1,NEPH_008924-T1,NEPH_010020-T1	PF3D7_0409400.1	PGSY75_0409400.1	PGAL8A_00060000	PKNH_0307500	PRCDC_0406800.1	PVP01_0308700	SN3_01300725	TA15550	TGME49_207760
OG0000858	EDO08606.1	KAF8819906.1,KAF8819972.1	cgd6_2460-RA	cyc_01227	ETH2_1014500	Htart_000396800	VWU49210	Ncaninum_LIV_000306100	NEPH_007502-T1	PF3D7_1426000.1	PGSY75_1426000.1	PGAL8A_00297400	PKNH_1332700	PRCDC_1425300.1	PVP01_1323300	SN3_01900075	TA15220	TGME49_245680
OG0000859	EDO08612.1	KAF8820768.1	cgd8_430-RA	cyc_02586	ETH2_1446700	Htart_000058000	VWU50085	Ncaninum_LIV_000126100	NEPH_007649-T1,NEPH_009114-T1	PF3D7_1424400.1	PGSY75_1424400.1	PGAL8A_00296000	PKNH_1333700	PRCDC_1423700.1	PVP01_1324700	SN3_02000385	TA14895	TGME49_261570
OG0000860	EDO08616.2	KAF8822376.1	cgd8_3200-RA	cyc_08438	ETH2_1413900	Htart_000106400	VWU53257	Ncaninum_LIV_000141600	NEPH_001139-T1,NEPH_009552-T1,NEPH_009622-T1	PF3D7_1460400.1	PGSY75_1460400.1	PGAL8A_00219800	PKNH_1221300	PRCDC_1459700.1	PVP01_1246400	SN3_00500555		TGME49_263470
OG0000861	EDO08620.1	KAF8822831.1	cgd1_3000-RA	cyc_02503	ETH2_1568600	Htart_000106600	VWU50343	Ncaninum_LIV_000134200	NEPH_002625-T1,NEPH_007965-T1	PF3D7_1460700.1	PGSY75_1460700.1	PGAL8A_00220100	PKNH_1221000	PRCDC_1460000.1	PVP01_1246100	SN3_00701265	TA14565	TGME49_262690
OG0000862	EDO08657.1	KAF8819703.1,KAF8820165.1	cgd4_540-RA	cyc_07088	ETH2_1481600		VWU52644	Ncaninum_LIV_000359000	NEPH_000246-T1,NEPH_003735-T1	PF3D7_0106100.1	PGSY75_0106100.1	PGAL8A_00102200	PKNH_0207400	PRCDC_0104000.1	PVP01_0208700	SN3_00900315	TA12310	TGME49_315620
OG0000863	EDO08706.1	KAF8821774.1	cgd8_300-RA	cyc_03296	ETH2_1306500	Htart_000383500	VWU50598	Ncaninum_LIV_000240000	NEPH_003535-T1,NEPH_009164-T1	PF3D7_1143300.1	PGSY75_1143300.1	PGAL8A_00370800	PKNH_0941200	PRCDC_1141700.1	PVP01_0944000	SN3_02800130	TA14965	TGME49_267390
OG0000864	EDO08715.1	KAF8823124.1	cgd8_3400-RA	cyc_04241	ETH2_1335500	Htart_000016100	VWU48779	Ncaninum_LIV_000583100	NEPH_003694-T1,NEPH_009155-T1	PF3D7_0726900.1	PGSY75_0726900.1	PGAL8A_00098000	PKNH_0211500	PRCDC_0723700.1	PVP01_0212600	SN3_01001025	TA16800	TGME49_283590
OG0000865	EDO08737.1	KAF8819677.1,KAF8822728.1	cgd5_650-RA	cyc_03614	ETH2_0410100		VWU50250	Ncaninum_LIV_000665200	NEPH_000388-T1,NEPH_007865-T1	PF3D7_0911100.1	PGSY75_0911100.1	PGAL8A_00423900	PKNH_0709100	PRCDC_0909200.1	PVP01_0709600	SN3_00202555	TA17040	TGME49_252430
OG0000866	EDO06748.2	KAF8820187.1	cgd2_1120-RA	cyc_00075,cyc_08456	ETH2_1250900	Htart_000010600	VWU50241	Ncaninum_LIV_000197400	NEPH_010533-T1	PF3D7_1365400.1	PGSY75_1365400.1	PGAL8A_00171900	PKNH_1105900	PRCDC_1364300.1	PVP01_1106600	SN3_02200465	TA16845	TGME49_212100
OG0000867	EDO06751.1	KAF8820990.1	cgd8_4260-RA	cyc_02804	ETH2_0503300	Htart_000376000	VWU51019	Ncaninum_LIV_000232800	NEPH_002579-T1,NEPH_006477-T1	PF3D7_0505800.1	PGSY75_0505800.1	PGAL8A_00026900	PKNH_1027800	PRCDC_0505000.1	PVP01_1028200	SN3_00700200	TA16970	TGME49_266460
OG0000868	EDO06771.2	KAF8821943.1		cyc_07456	ETH2_1597500	Htart_000296700	VWU51832,VWU52858	Ncaninum_LIV_000310800	NEPH_002477-T1,NEPH_010744-T1	PF3D7_0513400.1	PGSY75_0513400.1	PGAL8A_00034800	PKNH_1019700	PRCDC_0512600.1	PVP01_1020500	SN3_00800595	TA19370	TGME49_217760
